departement,circonscription,communes
01,1,"Arbigny, Attignat, Beaupont, Bohas-Meyriat-Rignat, Boissey, Bourg-en-Bresse (en partie), Boz, Buellas, Bény, Béréziat, Certines, Ceyzériat, Chavannes-sur-Reyssouze, Chevroux, Cize, Coligny, Confrançon, Cormoz, Corveissiat, Courmangoux, Courtes, Cras-sur-Reyssouze, Curciat-Dongalon, Curtafond, Dompierre-sur-Veyle, Domsure, Drom, Druillat, Etrez, Foissiat, Gorrevod, Grand-Corent, Hautecourt-Romanèche, Jasseron, Jayat, Journans, La Tranclière, Lescheroux, Malafretaz, Mantenay-Montlin, Marboz, Marsonnas, Meillonnas, Montcet, Montrevel-en-Bresse, Neuville-sur-Ain, Nivigne et Suran, Ozan, Pirajoux, Polliat, Pont-d'Ain, Pont-de-Vaux, Pouillat, Priay, Ramasse, Revonnas, Reyssouze, Saint-Bénigne, Saint-Denis-lès-Bourg, Saint-Didier-d'Aussiat, Saint-Etienne-du-Bois, Saint-Etienne-sur-Reyssouze, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze, Saint-Martin-du-Mont, Saint-Martin-le-Châtel, Saint-Nizier-le-Bouchoux, Saint-Sulpice, Saint-Trivier-de-Courtes, Salavre, Sermoyer, Servignat, Simandre-sur-Suran, Tossiat, Val-Revermont, Vandeins, Varambon, Verjon, Vernoux, Vescours, Villemotier, Villereversure et Viriat"
01,2,"Ambutrix, Ars-sur-Formans, Balan, Beauregard, Beynost, Blyes, Bourg-Saint-Christophe, Bressolles, Béligneux, Charnoz-sur-Ain, Chazey-sur-Ain, Civrieux, Dagneux, Faramans, Frans, Jassans-Riottier, Joyeux, La Boisse, Lagnieu, Le Montellier, Leyment, Loyettes, Massieux, Meximieux, Mionnay, Miribel, Misérieux, Montluel, Neyron, Niévroz, Parcieux, Pizay, Pérouges, Rancé, Reyrieux, Rignieux-le-Franc, Saint-André-de-Corcy, Saint-Bernard, Saint-Didier-de-Formans, Saint-Eloi, Saint-Jean-de-Niost, Saint-Jean-de-Thurigneux, Saint-Maurice-de-Beynost, Saint-Maurice-de-Gourdans, Saint-Sorlin-en-Bugey, Saint-Vulbas, Sainte-Croix, Sainte-Euphémie, Sainte-Julie, Sault-Brénaz, Souclin, Thil, Toussieux, Tramoyes, Trévoux, Vaux-en-Bugey, Villebois et Villieu-Loyes-Mollon"
01,3,"Ambléon, Andert-et-Condon, Anglefort, Arboys en Bugey, Bellegarde-sur-Valserine, Belley, Billiat, Brens, Brégnier-Cordon, Cessy, Challex, Champfromier, Chanay, Chazey-Bons (en partie), Chevry, Châtillon-en-Michaille, Chézery-Forens, Collonges, Colomieu, Confort, Conzieu, Corbonod, Cressin-Rochefort, Crozet, Culoz, Divonne-les-Bains, Echenevex, Farges, Ferney-Voltaire, Gex, Giron, Grilly, Injoux-Génissiat, Izieu, Lancrans, Lavours, Lhôpital, Léaz, Lélex, Magnieu, Massignieu-de-Rives, Mijoux, Montanges, Murs-et-Gélignieux, Ornex, Parves et Nattages, Peyrieu, Plagne, Pollieu, Pougny, Prémeyzel, Prévessin-Moëns, Péron, Saint-Champ, Saint-Genis-Pouilly, Saint-Germain-de-Joux, Saint-Germain-les-Paroisses, Saint-Jean-de-Gonville, Sauverny, Sergy, Seyssel, Surjoux, Ségny, Thoiry, Versonnex, Vesancy, Villes et Virignin"
01,4,"Ambérieux-en-Dombes, Asnières-sur-Saône, Baneins, Bey, Birieux, Biziat, Bouligneux, Bourg-en-Bresse (en partie), Bâgé-la-Ville, Bâgé-le-Châtel, Chalamont, Chaleins, Chaneins, Chanoz-Châtenay, Chaveyriat, Châtenay, Châtillon-la-Palud, Châtillon-sur-Chalaronne, Condeissiat, Cormoranche-sur-Saône, Crans, Crottet, Cruzilles-lès-Mépillat, Dommartin, Dompierre-sur-Chalaronne, Fareins, Feillens, Francheleins, Garnerans, Genouilleux, Grièges, Guéreins, Illiat, L'Abergement-Clémenciat, La Chapelle-du-Châtelard, Laiz, Lapeyrouse, Le Plantay, Lent, Lurcy, Manziat, Marlieux, Messimy-sur-Saône, Mogneneins, Montagnat, Montceaux, Monthieux, Montmerle-sur-Saône, Montracol, Mézériat, Neuville-les-Dames, Perrex, Peyzieux-sur-Saône, Pont-de-Veyle, Péronnas, Relevant, Replonges, Romans, Saint-André-d'Huiriat, Saint-André-de-Bâgé, Saint-André-le-Bouchoux, Saint-André-sur-Vieux-Jonc, Saint-Cyr-sur-Menthon, Saint-Didier-sur-Chalaronne, Saint-Etienne-sur-Chalaronne, Saint-Genis-sur-Menthon, Saint-Georges-sur-Renon, Saint-Germain-sur-Renon, Saint-Jean-sur-Veyle, Saint-Julien-sur-Veyle, Saint-Just, Saint-Laurent-sur-Saône, Saint-Marcel, Saint-Nizier-le-Désert, Saint-Paul-de-Varax, Saint-Rémy, Saint-Trivier-sur-Moignans, Sainte-Olive, Sandrans, Savigneux, Servas, Sulignat, Thoissey, Valeins, Versailleux, Villars-les-Dombes, Villeneuve, Villette-sur-Ain, Vonnas et Vésines"
01,5,"Ambronay, Ambérieu-en-Bugey, Apremont, Aranc, Arandas, Arbent, Argis, Armix, Artemare, Beard-Géovreissiat, Belleydoux, Bellignat, Belmont-Luthézieu, Bettant, Bolozon, Boyeux-Saint-Jérôme, Brion, Briord, Brénaz, Brénod, Bénonces, Béon, Ceignes, Cerdon, Ceyzérieu, Chaley, Challes-la-Montagne, Champagne-en-Valromey, Champdor-Corcelles, Charix, Chavornay, Chazey-Bons (en partie), Cheignieu-la-Balme, Chevillard, Château-Gaillard, Cleyzieu, Conand, Condamine, Contrevoz, Corlier, Cormaranche-en-Bugey, Cuzieu, Dortan, Douvres, Echallon, Evosges, Flaxieu, Groissiat, Groslée-Saint-Benoît, Géovreisset, Haut Valromey, Hauteville-Lompnes, Hostiaz, Innimond, Izenave, Izernore, Jujurieux, L'Abergement-de-Varey, La Burbanche, Labalme, Lantenay, Le Poizat-Lalleyriat, Les Neyrolles, Leyssard, Lhuis, Lochieu, Lompnas, Lompnieu, Maillat, Marchamp, Marignieu, Martignat, Matafelon-Granges, Montagnieu, Montréal-la-Cluse, Mérignat, Nantua, Nivollet-Montgriffon, Nurieux-Volognat, Oncieu, Ordonnaz, Outriaz, Oyonnax, Peyriat, Poncin, Port, Prémillieu, Rossillon, Ruffieu, Saint-Alban, Saint-Denis-en-Bugey, Saint-Jean-le-Vieux, Saint-Martin-de-Bavel, Saint-Martin-du-Frêne, Saint-Maurice-de-Rémens, Saint-Rambert-en-Bugey, Samognat, Seillonnaz, Serrières-de-Briord, Serrières-sur-Ain, Sonthonnax-la-Montagne, Sutrieu, Talissieu, Tenay, Thézillieu, Torcieu, Vieu, Vieu-d'Izenave, Virieu-le-Grand, Virieu-le-Petit et Vongnes"
02,1,"Achery, Aguilcourt, Aizelles, Amifontaine, Andelain, Anguilcourt-le-Sart, Anizy-le-Château, Archon, Arrancy, Assis-sur-Serre, Athies-sous-Laon, Aubigny-en-Laonnois, Aulnois-sous-Laon, Barenton-Bugny, Barenton-Cel, Barenton-sur-Serre, Bassoles-Aulers, Beaurieux, Berlise, Berrieux, Berry-au-Bac, Bertaucourt-Epourdon, Bertricourt, Besny-et-Loizy, Bièvres, Bois-lès-Pargny, Boncourt, Bouconville-Vauclair, Bouffignereux, Bourg-et-Comin, Bourguignon-sous-Montbavin, Brancourt-en-Laonnois, Braye-en-Laonnois, Brie, Brunehamel, Bruyères-et-Montbérault, Bucy-lès-Cerny, Bucy-lès-Pierrepont, Cerny-en-Laonnois, Cerny-lès-Bucy, Cessières, Chaillevois, Chalandry, Chambry, Chamouille, Chaourse, Charmes, Chaudardes, Chermizy-Ailles, Chevregny, Chivres-en-Laonnois, Chivy-lès-Etouvelles, Chéry-lès-Pouilly, Chéry-lès-Rozoy, Chérêt, Clacy-et-Thierret, Clermont-les-Fermes, Colligis-Crandelain, Concevreux, Condé-sur-Suippe, Corbeny, Coucy-lès-Eppes, Courbes, Courtrizy-et-Fussigny, Couvron-et-Aumencourt, Craonne, Craonnelle, Crécy-sur-Serre, Crépy, Cuiry-lès-Chaudardes, Cuiry-lès-Iviers, Cuissy-et-Geny, Dagny-Lambercy, Danizy, Dercy, Deuillet, Dizy-le-Gros, Dohis, Dolignon, Ebouleau, Eppes, Etouvelles, Evergnicourt, Faucoucourt, Festieux, Fourdrain, Fressancourt, Gernicourt, Gizy, Goudelancourt-lès-Berrieux, Goudelancourt-lès-Pierrepont, Grandrieux, Guignicourt, Guyencourt, Jumigny, Juvincourt-et-Damary, La Fère, La Malmaison, La Selve, La Ville-aux-Bois-lès-Dizy, La Ville-aux-Bois-lès-Pontavert, Laniscourt, Laon, Lappion, Laval-en-Laonnois, Le Thuel, Les Autels, Lierval, Liesse-Notre-Dame, Lislet, Lizy, Lor, Maizy, Marchais, Martigny-Courpierre, Mauregny-en-Haye, Mayot, Menneville, Merlieux-et-Fouquerolles, Mesbrecourt-Richecourt, Meurival, Missy-lès-Pierrepont, Molinchart, Monampteuil, Monceau-lès-Leups, Mons-en-Laonnois, Montaigu, Montbavin, Montchâlons, Montcornet, Monthenault, Montigny-sur-Crécy, Montloué, Morgny-en-Thiérache, Mortiers, Moulins, Moussy-Verneuil, Muscourt, Mâchecourt, Neufchâtel-sur-Aisne, Neuville-sur-Ailette, Nizy-le-Comte, Noircourt, Nouvion-et-Catillon, Nouvion-le-Comte, Nouvion-le-Vineux, OEuilly, Orainville, Orgeval, Oulches-la-Vallée-Foulon, Paissy, Pancy-Courtecon, Parfondeval, Parfondru, Pargnan, Pargny-les-Bois, Pignicourt, Pinon, Ployart-et-Vaurseine, Pontavert, Pouilly-sur-Serre, Presles-et-Thierny, Prouvais, Proviseux-et-Plesnoy, Prémontré, Raillimont, Remies, Renneval, Rogécourt, Roucy, Rouvroy-sur-Serre, Royaucourt-et-Chailvet, Rozoy-sur-Serre, Résigny, Saint-Erme-Outre-et-Ramecourt, Saint-Gobain, Saint-Nicolas-aux-Bois, Saint-Thomas, Sainte-Croix, Sainte-Geneviève, Sainte-Preuve, Samoussy, Servais, Sissonne, Soize, Suzy, Travecy, Trucy, Urcel, Variscourt, Vassogne, Vaucelles-et-Beffecourt, Vauxaillon, Vendresse-Beaulne, Verneuil-sur-Serre, Versigny, Veslud, Vigneux-Hocquet, Vincy-Reuil-et-Magny, Vivaise, Vorges et Wissignicourt"
02,2,"Alaincourt, Annois, Artemps, Attilly, Aubencheul-aux-Bois, Aubigny-aux-Kaisnes, Beaurevoir, Beauvois-en-Vermandois, Bellenglise, Bellicourt, Benay, Berthenicourt, Bony, Bray-Saint-Christophe, Brissay-Choigny, Brissy-Hamégicourt, Castres, Caulaincourt, Cerizy, Châtillon-sur-Oise, Clastres, Contescourt, Cugny, Dallon, Douchy, Dury, Essigny-le-Grand, Essigny-le-Petit, Estrées, Etreillers, Fayet, Fieulaine, Flavy-le-Martel, Fluquières, Fonsommes, Fontaine-Notre-Dame, Fontaine-lès-Clercs, Foreste, Francilly-Selency, Gauchy, Germaine, Gibercourt, Gouy, Gricourt, Grugies, Happencourt, Hargicourt, Harly, Hinacourt, Holnon, Homblières, Itancourt, Jeancourt, Joncourt, Jussy, Lanchy, Le Catelet, Le Verguier, Lehaucourt, Lempire, Lesdins, Levergies, Ly-Fontaine, Magny-la-Fosse, Maissemy, Marcy, Mesnil-Saint-Laurent, Montescourt-Lizerolles, Morcourt, Moy-de-l'Aisne, Mézières-sur-Oise, Nauroy, Neuville-Saint-Amand, Ollezy, Omissy, Pithon, Pontru, Pontruet, Remaucourt, Remigny, Roupy, Rouvroy, Saint-Quentin, Saint-Simon, Savy, Sequehart, Seraucourt-le-Grand, Sommette-Eaucourt, Trefcon, Tugny-et-Pont, Urvillers, Vaux-en-Vermandois, Vendelles, Vendeuil, Vendhuile, Vermand, Villeret et Villers-Saint-Christophe"
02,3,"Agnicourt-et-Séchelles, Aisonville-et-Bernoville, Any-Martin-Rieux, Aubenton, Audigny, Autremencourt, Autreppes, Bancigny, Barzy-en-Thiérache, Beaumé, Becquigny, Bergues-sur-Sambre, Berlancourt, Bernot, Besmont, Bohain-en-Vermandois, Bosmont-sur-Serre, Boué, Brancourt-le-Grand, Braye-en-Thiérache, Bucilly, Buire, Buironfosse, Burelles, Chevennes, Chevresis-Monceau, Chigny, Châtillon-lès-Sons, Cilly, Clairfontaine, Coingt, Colonfay, Croix-Fonsommes, Crupilly, Cuirieux, Dorengt, Effry, Englancourt, Eparcy, Erlon, Erloy, Esquéhéries, Etaves-et-Bocquiaux, Etreux, Etréaupont, Fesmy-le-Sart, Flavigny-le-Grand-et-Beaurain, Fontaine-Uterte, Fontaine-lès-Vervins, Fontenelle, Franqueville, Fresnoy-le-Grand, Froidestrées, Froidmont-Cohartille, Gercy, Gergny, Grand-Verly, Grandlup-et-Fay, Gronard, Grougis, Guise, Hannapes, Harcigny, Hary, Hauteville, Haution, Hirson, Houry, Housset, Iron, Iviers, Jeantes, La Bouteille, La Capelle, La Ferté-Chevresis, La Flamengrie, La Hérie, La Neuville-Bosmont, La Neuville-Housset, La Neuville-lès-Dorengt, La Vallée-Mulâtre, La Vallée-au-Blé, Laigny, Landifay-et-Bertaignemont, Landouzy-la-Cour, Landouzy-la-Ville, Lavaqueresse, Le Hérie-la-Viéville, Le Nouvion-en-Thiérache, Le Sourd, Lemé, Lerzy, Leschelle, Lesquielles-Saint-Germain, Leuze, Logny-lès-Aubenton, Lugny, Luzoir, Macquigny, Malzy, Marcy-sous-Marle, Marfontaine, Marle, Marly-Gomont, Martigny, Mennevret, Molain, Monceau-le-Neuf-et-Faucouzy, Monceau-le-Waast, Monceau-sur-Oise, Mondrepuis, Mont-Saint-Jean, Mont-d'Origny, Montbrehain, Montigny-en-Arrouaise, Montigny-le-Franc, Montigny-sous-Marle, Nampcelles-la-Cour, Neuve-Maison, Neuvillette, Noyales, Ohis, Oisy, Origny-Sainte-Benoite, Origny-en-Thiérache, Papleux, Parpeville, Petit-Verly, Pierrepont, Pleine-Selve, Plomion, Prisces, Proisy, Proix, Prémont, Puisieux-et-Clanlieu, Ramicourt, Regny, Renansart, Ribeauville, Ribemont, Rocquigny, Rogny, Romery, Rougeries, Sains-Richaumont, Saint-Algis, Saint-Clément, Saint-Gobert, Saint-Martin-Rivière, Saint-Michel, Saint-Pierre-lès-Franqueville, Saint-Pierremont, Seboncourt, Serain, Sissy, Sommeron, Sons-et-Ronchères, Sorbais, Surfontaine, Séry-lès-Mézières, Tavaux-et-Pontséricourt, Thenailles, Thenelles, Thiernu, Toulis-et-Attencourt, Tupigny, Vadencourt, Vaux-Andigny, Vervins, Vesles-et-Caumont, Villers-le-Sec, Villers-lès-Guise, Voharies, Voulpaix, Voyenne, Vénérolles, Wassigny, Watigny, Wimy et Wiège-Faty"
02,4,"Abbécourt, Ambleny, Amigny-Rouy, Audignicourt, Autreville, Bagneux, Barisis-aux-Bois, Beaumont-en-Beine, Beautor, Belleu, Berny-Rivière, Berzy-le-Sec, Besmé, Bichancourt, Bieuxy, Billy-sur-Aisne, Blérancourt, Bourguignon-sous-Coucy, Béthancourt-en-Vaux, Caillouël-Crépigny, Camelin, Caumont, Champs, Chauny, Chavigny, Coeuvres-et-Valsery, Commenchon, Condren, Coucy-la-Ville, Coucy-le-Château-Auffrique, Courmelles, Crouy, Crécy-au-Mont, Cuffies, Cuisy-en-Almont, Cutry, Dommiers, Epagny, Folembray, Fontenoy, Fresnes, Frières-Faillouël, Guivry, Guny, Jumencourt, Juvigny, La Neuville-en-Beine, Landricourt, Laversine, Leuilly-sous-Coucy, Leury, Liez, Manicamp, Marest-Dampcourt, Mennessis, Mercin-et-Vaux, Missy-aux-Bois, Montigny-Lengrain, Morsain, Mortefontaine, Neuflieux, Nouvron-Vingré, Noyant-et-Aconin, Ognes, Osly-Courtil, Pasly, Pernant, Pierremande, Ploisy, Pommiers, Pont-Saint-Mard, Quierzy, Quincy-Basse, Ressons-le-Long, Saconin-et-Breuil, Saint-Aubin, Saint-Bandry, Saint-Christophe-à-Berry, Saint-Paul-aux-Bois, Saint-Pierre-Aigle, Selens, Septmonts, Septvaux, Sinceny, Soissons, Tartiers, Tergnier, Trosly-Loire, Ugny-le-Gay, Vassens, Vauxbuin, Vauxrezis, Venizel, Verneuil-sous-Coucy, Vic-sur-Aisne, Villeneuve-Saint-Germain, Villequier-Aumont, Viry-Noureuil et Vézaponin"
02,5,"Acy, Aizy-Jouy, Allemant, Ambrief, Ancienville, Arcy-Sainte-Restitue, Armentières-sur-Ourcq, Augy, Azy-sur-Marne, Barzy-sur-Marne, Bazoches-sur-Vesles, Belleau, Beugneux, Beuvardes, Billy-sur-Ourcq, Blanzy-lès-Fismes, Blesmes, Bonneil, Bonnesvalyn, Bouresches, Braine, Brasles, Braye, Brenelle, Breny, Brumetz, Bruys, Bruyères-sur-Fère, Brécy, Bucy-le-Long, Bussiares, Buzancy, Bézu-Saint-Germain, Bézu-le-Guéry, Celles-lès-Condé, Celles-sur-Aisne, Cerseuil, Chacrise, Charly-sur-Marne, Chartèves, Chassemy, Chaudun, Chavignon, Chavonne, Chierry, Chivres-Val, Chouy, Château-Thierry, Chéry-Chartreuve, Chézy-en-Orxois, Chézy-sur-Marne, Cierges, Ciry-Salsogne, Clamecy, Coincy, Condé-en-Brie, Condé-sur-Aisne, Connigis, Corcy, Coulonges-Cohan, Coupru, Courboin, Courcelles-sur-Vesles, Courchamps, Courmont, Courtemont-Varennes, Couvrelles, Coyolles, Cramaille, Crouttes-sur-Marne, Crézancy, Cuiry-Housse, Cys-la-Commune, Dammard, Dampleux, Dhuizel, Dhuys et Morin-en-Brie, Domptin, Dravegny, Droizy, Epaux-Bézu, Epieds, Essises, Essômes-sur-Marne, Etampes-sur-Marne, Etrépilly, Faverolles, Filain, Fleury, Fossoy, Fresnes-en-Tardenois, Fère-en-Tardenois, Gandelu, Gland, Goussancourt, Grand-Rozoy, Grisolles, Haramont, Hartennes-et-Taux, Hautevesnes, Jaulgonne, Jouaignes, L'Epine-aux-Bois, La Chapelle-sur-Chézy, La Croix-sur-Ourcq, La Ferté-Milon, Laffaux, Largny-sur-Automne, Latilly, Launoy, Le Charmel, Le Plessier-Huleu, Les Septvallons, Lesges, Lhuys, Licy-Clignon, Limé, Longpont, Loupeigne, Louâtre, Lucy-le-Bocage, Maast-et-Violaine, Macogny, Mareuil-en-Dôle, Margival, Marigny-en-Orxois, Marizy-Saint-Mard, Marizy-Sainte-Geneviève, Missy-sur-Aisne, Monnes, Mont-Notre-Dame, Mont-Saint-Martin, Mont-Saint-Père, Montfaucon, Montgobert, Montgru-Saint-Hilaire, Monthiers, Monthurel, Montigny-l'Allier, Montigny-lès-Condé, Montlevon, Montreuil-aux-Lions, Muret-et-Crouttes, Mézy-Moulins, Nampteuil-sous-Muret, Nanteuil-Notre-Dame, Nanteuil-la-Fosse, Nesles-la-Montagne, Neuilly-Saint-Front, Neuville-sur-Margival, Nogent-l'Artaud, Nogentel, Noroy-sur-Ourcq, Oigny-en-Valois, Ostel, Oulchy-la-Ville, Oulchy-le-Château, Paars, Parcy-et-Tigny, Pargny-Filain, Pargny-la-Dhuys, Passy-en-Valois, Passy-sur-Marne, Pavant, Pont-Arcy, Presles-et-Boves, Priez, Puiseux-en-Retz, Quincy-sous-le-Mont, Retheuil, Reuilly-Sauvigny, Rocourt-Saint-Martin, Romeny-sur-Marne, Ronchères, Rozet-Saint-Albin, Rozières-sur-Crise, Rozoy-Bellevalle, Saint-Eugène, Saint-Gengoulph, Saint-Mard, Saint-Rémy-Blanzy, Saint-Thibaut, Sancy-les-Cheminots, Saponay, Saulchery, Serches, Sergy, Seringes-et-Nesles, Sermoise, Serval, Silly-la-Poterie, Sommelans, Soucy, Soupir, Taillefontaine, Tannières, Terny-Sorny, Torcy-en-Valois, Troësnes, Trélou-sur-Marne, Vailly-sur-Aisne, Vallées en Champagne, Vasseny, Vaudesson, Vauxtin, Vendières, Verdilly, Veuilly-la-Poterie, Vichel-Nanteuil, Viel-Arcy, Viels-Maisons, Vierzy, Viffort, Ville-Savoye, Villemontoire, Villeneuve-sur-Fère, Villers-Agron-Aiguizy, Villers-Cotterêts, Villers-Hélon, Villers-sur-Fère, Villiers-Saint-Denis, Vivières, Vregny, Vuillery et Vézilly"
